year,country,type,n,region,subregion,intermediate_region,least_developed,land_locked_developing,small_island_developing,code_region,code_subregion,code_intermediate_region,code_m49,code_iso_alpha2,code_iso_alpha3
2008,Malaysia,cv,46298,Asia,South-eastern Asia,NA,0,0,0,142,35,NA,458,MY,MYS
2008,Mexico,pv,1217458,Americas,Latin America and the Caribbean,Central America,0,0,0,19,419,13,484,MX,MEX
2008,Mexico,cv,950486,Americas,Latin America and the Caribbean,Central America,0,0,0,19,419,13,484,MX,MEX
2008,Netherlands,pv,59223,Europe,Western Europe,NA,0,0,0,150,155,NA,528,NL,NLD
2008,Netherlands,cv,73271,Europe,Western Europe,NA,0,0,0,150,155,NA,528,NL,NLD
2008,Poland,pv,842000,Europe,Eastern Europe,NA,0,0,0,150,151,NA,616,PL,POL
2008,Poland,cv,110840,Europe,Eastern Europe,NA,0,0,0,150,151,NA,616,PL,POL
2008,Portugal,pv,132242,Europe,Southern Europe,NA,0,0,0,150,39,NA,620,PT,PRT
2008,Portugal,cv,42913,Europe,Southern Europe,NA,0,0,0,150,39,NA,620,PT,PRT
2008,Romania,pv,231056,Europe,Eastern Europe,NA,0,0,0,150,151,NA,642,RO,ROU
2008,Romania,cv,14252,Europe,Eastern Europe,NA,0,0,0,150,151,NA,642,RO,ROU
2008,Russia,pv,1469429,Europe,Eastern Europe,NA,0,0,0,150,151,NA,643,RU,RUS
2008,Russia,cv,320872,Europe,Eastern Europe,NA,0,0,0,150,151,NA,643,RU,RUS
2008,Serbia,pv,9818,Europe,Southern Europe,NA,0,0,0,150,39,NA,688,RS,SRB
2008,Serbia,cv,1810,Europe,Southern Europe,NA,0,0,0,150,39,NA,688,RS,SRB
2008,Slovakia,pv,575776,Europe,Eastern Europe,NA,0,0,0,150,151,NA,703,SK,SVK
2008,Slovakia,cv,0,Europe,Eastern Europe,NA,0,0,0,150,151,NA,703,SK,SVK
2008,Slovenia,pv,180233,Europe,Southern Europe,NA,0,0,0,150,39,NA,705,SI,SVN
2008,Slovenia,cv,17610,Europe,Southern Europe,NA,0,0,0,150,39,NA,705,SI,SVN
2008,South Africa,pv,321124,Africa,Sub-Saharan Africa,Southern Africa,0,0,0,2,202,18,710,ZA,ZAF
2008,South Africa,cv,241841,Africa,Sub-Saharan Africa,Southern Africa,0,0,0,2,202,18,710,ZA,ZAF
2008,South Korea,pv,3450478,Asia,Eastern Asia,NA,0,0,0,142,30,NA,410,KR,KOR
2008,South Korea,cv,376204,Asia,Eastern Asia,NA,0,0,0,142,30,NA,410,KR,KOR
2008,Spain,pv,1943049,Europe,Southern Europe,NA,0,0,0,150,39,NA,724,ES,ESP
2008,Spain,cv,598595,Europe,Southern Europe,NA,0,0,0,150,39,NA,724,ES,ESP
2008,Sweden,pv,252287,Europe,Northern Europe,NA,0,0,0,150,154,NA,752,SE,SWE
2008,Sweden,cv,56012,Europe,Northern Europe,NA,0,0,0,150,154,NA,752,SE,SWE
2008,Taiwan,pv,138714,Asia,Eastern Asia,NA,0,0,0,142,30,NA,NA,CN-TW,TWN
2008,Taiwan,cv,44260,Asia,Eastern Asia,NA,0,0,0,142,30,NA,NA,CN-TW,TWN
2008,Thailand,pv,401309,Asia,South-eastern Asia,NA,0,0,0,142,35,NA,764,TH,THA
2008,Thailand,cv,992433,Asia,South-eastern Asia,NA,0,0,0,142,35,NA,764,TH,THA
2008,Turkey,pv,621567,Asia,Western Asia,NA,0,0,0,142,145,NA,792,TR,TUR
2008,Turkey,cv,525543,Asia,Western Asia,NA,0,0,0,142,145,NA,792,TR,TUR
2008,Ukraine,pv,400799,Europe,Eastern Europe,NA,0,0,0,150,151,NA,804,UA,UKR
2008,Ukraine,cv,22328,Europe,Eastern Europe,NA,0,0,0,150,151,NA,804,UA,UKR
2008,United Kingdom,pv,1446619,Europe,Northern Europe,NA,0,0,0,150,154,NA,826,GB,GBR
2008,United Kingdom,cv,202896,Europe,Northern Europe,NA,0,0,0,150,154,NA,826,GB,GBR
2008,USA,pv,3776641,Americas,Northern America,NA,0,0,0,19,21,NA,840,US,USA
2008,USA,cv,4895500,Americas,Northern America,NA,0,0,0,19,21,NA,840,US,USA
2008,Uzbekistan,pv,195038,Asia,Central Asia,NA,0,1,0,142,143,NA,860,UZ,UZB
2008,Uzbekistan,cv,13000,Asia,Central Asia,NA,0,1,0,142,143,NA,860,UZ,UZB
2008,Others,pv,365165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,Others,cv,162469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,Argentina,pv,380067,Americas,Latin America and the Caribbean,South America,0,0,0,19,419,5,32,AR,ARG
2009,Argentina,cv,132857,Americas,Latin America and the Caribbean,South America,0,0,0,19,419,5,32,AR,ARG
2009,Australia,pv,188158,Oceania,Australia and New Zealand,NA,0,0,0,9,53,NA,36,AU,AUS
2009,Australia,cv,39125,Oceania,Australia and New Zealand,NA,0,0,0,9,53,NA,36,AU,AUS
2009,Austria,pv,56620,Europe,Western Europe,NA,0,0,0,150,155,NA,40,AT,AUT
2009,Austria,cv,15714,Europe,Western Europe,NA,0,0,0,150,155,NA,40,AT,AUT
2009,Belgium,pv,524595,Europe,Western Europe,NA,0,0,0,150,155,NA,56,BE,BEL
2009,Belgium,cv,12510,Europe,Western Europe,NA,0,0,0,150,155,NA,56,BE,BEL
2009,Brazil,pv,2575418,Americas,Latin America and the Caribbean,South America,0,0,0,19,419,5,76,BR,BRA
2009,Brazil,cv,607505,Americas,Latin America and the Caribbean,South America,0,0,0,19,419,5,76,BR,BRA
2009,Canada,pv,822267,Americas,Northern America,NA,0,0,0,19,21,NA,124,CA,CAN
2009,Canada,cv,668215,Americas,Northern America,NA,0,0,0,19,21,NA,124,CA,CAN
2009,China,pv,10383831,Asia,Eastern Asia,NA,0,0,0,142,30,NA,156,CN,CHN
2009,China,cv,3407163,Asia,Eastern Asia,NA,0,0,0,142,30,NA,156,CN,CHN
2009,Czech Republic,pv,976435,Europe,Eastern Europe,NA,0,0,0,150,151,NA,203,CZ,CZE
2009,Czech Republic,cv,6810,Europe,Eastern Europe,NA,0,0,0,150,151,NA,203,CZ,CZE
2009,Egypt,pv,60249,Africa,Northern Africa,NA,0,0,0,2,15,NA,818,EG,EGY
2009,Egypt,cv,32090,Africa,Northern Africa,NA,0,0,0,2,15,NA,818,EG,EGY
2009,Finland,pv,10907,Europe,Northern Europe,NA,0,0,0,150,154,NA,246,FI,FIN
2009,Finland,cv,64,Europe,Northern Europe,NA,0,0,0,150,154,NA,246,FI,FIN
2009,France,pv,1819497,Europe,Western Europe,NA,0,0,0,150,155,NA,250,FR,FRA
2009,France,cv,228196,Europe,Western Europe,NA,0,0,0,150,155,NA,250,FR,FRA
